type,component,label,family
http://purl.org/linked-data/cube#DimensionProperty,http://purl.org/linked-data/cube#measureType,Measure type,NA
http://purl.org/linked-data/cube#DimensionProperty,http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,Reference Period,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/count,Count,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#unitMeasure,Unit of Measure,NA
http://purl.org/linked-data/cube#DimensionProperty,http://purl.org/linked-data/sdmx/2009/dimension#age,Age,NA
http://purl.org/linked-data/cube#DimensionProperty,http://purl.org/linked-data/sdmx/2009/dimension#civilStatus,Civil Status,NA
http://purl.org/linked-data/cube#DimensionProperty,http://purl.org/linked-data/sdmx/2009/dimension#currency,Currency,NA
http://purl.org/linked-data/cube#DimensionProperty,http://purl.org/linked-data/sdmx/2009/dimension#educationLev,Education Level,NA
http://purl.org/linked-data/cube#DimensionProperty,http://purl.org/linked-data/sdmx/2009/dimension#freq,Frequency,NA
http://purl.org/linked-data/cube#DimensionProperty,http://purl.org/linked-data/sdmx/2009/dimension#occupation,Occupation,NA
http://purl.org/linked-data/cube#DimensionProperty,http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,NA
http://purl.org/linked-data/cube#DimensionProperty,http://purl.org/linked-data/sdmx/2009/dimension#sex,Sex,NA
http://purl.org/linked-data/cube#DimensionProperty,http://purl.org/linked-data/sdmx/2009/dimension#timePeriod,Time Period,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#accessibility,Accessibility,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#accuracy,Accuracy,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#accuracyOverall,Accuracy - overall,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#nonsamplingErr,Accuracy - nonsampling error,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#samplingErr,Accuracy - sampling error,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#adjustment,Adjustment,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#adjustCoded,Adjustment - coded,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#adjustDetail,Adjustment - detail,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#basePer,Base Period,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#clarity,Clarity,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#classSystem,Classification systems,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#coherence,Coherence,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#coherXDom,Coherence - cross domain,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#coherInternal,Coherence - Internal,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#comment,Comment,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#comparability,Comparability,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#comparDomains,Comparability - between domains,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#comparGeo,Comparability - geographical,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#comparTime,Comparability - over time,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#compilingOrg,Compiling agency,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#conf,Confidentiality,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#confDataTr,Confidentiality - data treatment,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#confPolicy,Confidentiality - policy,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#confStatus,Confidentiality - status,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#contact,Contact,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#contactEmail,Contact email address,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#contactFax,Contact fax number,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#contactMail,Contact mail address,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#contactName,Contact name,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#contactOrganisation,Contact organisation,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#organisationUnit,Contact organization unit,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#contactFunct,Contact person job title,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#contactPhone,Contact phone number,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#costBurden,Cost and Burden,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#costBurdenEff,Cost and Burden - efficiency management,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#costBurdenRes,Cost and Burden - resources,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#visArea,Counterpart Reference Area,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#coverage,Coverage,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#coverageSector,Coverage - sector,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#coverageTime,Coverage- time,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#currency,Currency,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#collMethod,Data Collection Method,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dataComp,Data Compilation,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dissOrg,Data Dissemination Agency,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dataEditing,Data Editing,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dataPres,Data Presentation,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dataDescr,Data Presentation - data description,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dissDet,Data Presentation - disseminated detail,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dataProvider,Data Provider,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dataRev,Data Revision,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#revPolicy,Data Revision - policy,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#revPractice,Data Revision - practice,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#revStudy,Data Revision - studies,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dsi,Data Set Identifier,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dataUpdate,Data Update,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dataValidation,Data Validation,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dataValInter,Data Validation - intermediate,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dataValOutput,Data Validation - output,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dataValSource,Data Validation - source,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#decimals,Decimals,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dissFormat,Dissemination Format,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#microDatAcc,Dissemination Format - mirco-data access,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#newsRel,Dissemination Format - news release,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#onlineDb,Dissemination Format - online database,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#dissOther,Dissemination Format - other,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#publications,Dissemination Format - publications,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#docMethod,Documentation on methodology,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#advNotice,Documentation on methodology - advance notice,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#embargoTime,Embargo Time,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#freqDetail,Frequency Detail,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#freqColl,Frequency of data collection,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#freqDiss,Frequency of dissemination,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#grossNet,Grossing/Netting,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#indType,Index Type,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#instMandate,Institutional Mandate,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#instManShar,Institutional Mandate - data sharing,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#instManLaOa,Institutional Mandate - legal acts and other agreements.,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#iMResRel,Institutional Mandate - respondent relations.,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#mAgency,Maintenance Agency,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#metaUpdate,Metadata Update,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#metaCertified,Metadata Update - last certified,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#metaPosted,Metadata Update - last posted,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#metaLastUpdate,Metadata Update - last update,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#obsPreBreak,Observation Pre-break Value,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#obsStatus,Observation Status,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#origDataId,Original Data Identifier,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#prof,Professionalism,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#profCond,Professionalism - code of conduct,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#profImp,Professionalism - impartiality,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#profMeth,Professionalism - methodology,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#profStatCom,Professionalism - statistical commentary,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#punctuality,Punctuality,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#qualityMgmnt,Quality Management,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#qualityAssmnt,Quality Management - assessment,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#qualityAssure,Quality Management - assurance,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#qualityDoc,Quality Management - documentation,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#recording,Recording Basis,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#refPerWgts,Reference Period - weights,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#relPolicy,Release Policy,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#relPolLegActs,Release Policy - legal acts and other agreements,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#relComment,Release Policy - policy commentary,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#relCalPolicy,Release Policy - release calendar,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#relCalAccess,Release Policy - release calendar access,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#relPolTra,Release Policy - transparency,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#relPolUsAc,Release Policy - user access,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#relevance,Relevance,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#completeness,Relevance - Completeness,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#userNeeds,Relevance - user needs,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#userSat,Relevance - user satisifaction,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#repAgency,Reporting Agency,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#sampling,Sampling,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#sourceType,Source Data,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#statConcDef,Statistical Concepts and Definitions,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#statPop,Statistical Population,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#statUnit,Statistical Unit,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#timeFormat,Time Format,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#timePerCollect,Time Period - collection,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#timeliness,Timelinesst,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#timeOutput,Timeliness - output,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#timeSource,Timeliness - source data,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#title,Title,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#unitMult,Unit Multiplier,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#unitMeasDetail,Unit of Measure Detail,NA
http://purl.org/linked-data/cube#AttributeProperty,http://purl.org/linked-data/sdmx/2009/attribute#valuation,Valuation,NA
http://purl.org/linked-data/cube#MeasureProperty,http://purl.org/linked-data/sdmx/2009/measure#age,Age,NA
http://purl.org/linked-data/cube#MeasureProperty,http://purl.org/linked-data/sdmx/2009/measure#civilStatus,Civil Status,NA
http://purl.org/linked-data/cube#MeasureProperty,http://purl.org/linked-data/sdmx/2009/measure#currency,Currency,NA
http://purl.org/linked-data/cube#MeasureProperty,http://purl.org/linked-data/sdmx/2009/measure#educationLev,Education Level,NA
http://purl.org/linked-data/cube#MeasureProperty,http://purl.org/linked-data/sdmx/2009/measure#obsValue,Observation,NA
http://purl.org/linked-data/cube#MeasureProperty,http://purl.org/linked-data/sdmx/2009/measure#occupation,Occupation,NA
http://purl.org/linked-data/cube#MeasureProperty,http://purl.org/linked-data/sdmx/2009/measure#sex,Sex,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/cumulative-count,Cumulative Count,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/percent,Percent,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/indicator,Indicator,NA
